id,"Alkalinity, total",Calcium,Chloride,Fluoride,Magnesium,Nitrate as N,Sodium,Specific Conductivity,Sulfate,Total Dissolved Solids,Hardness
0,120.0,24.0,6.9,0.314,7.1,0.498,48.0,510.0,23.2,240.0,90.4
1,140.0,41.0,11.0,0.15,6.5,0.95,19.0,300.0,8.5,190.0,130.0
2,160.0,51.0,9.0,0.45,9.1,2.5,12.0,370.0,25.0,230.0,160.0
3,46.0,13.0,2.9,0.12,2.7,0.43,6.4,110.0,5.0,97.0,41.0
4,240.0,147.0,70.0,0.6,48.0,6.8,93.0,1410.0,418.0,950.0,586.0
5,154.0,49.2,51.0,0.25,10.6,0.55,51.7,619.0,100.0,338.0,198.0
6,110.0,43.0,52.0,0.13,6.7,4.68,40.0,430.0,15.0,280.0,137.0
7,120.0,34.0,18.0,0.2,10.0,0.28,18.3,330.0,33.3,200.0,110.0
8,220.0,49.0,52.0,0.13,36.0,1.6,21.0,590.0,42.0,470.0,296.0
9,256.0,77.67,120.0,0.16,28.99,1.8,70.0,849.0,71.0,540.0,304.0
10,170.0,43.0,20.0,0.59,15.0,4.3,31.0,490.0,45.0,400.0,180.0
11,150.0,43.0,18.0,0.26,8.3,0.45,42.0,429.0,40.0,330.0,130.0
12,280.0,90.0,31.0,2.1,37.0,3.8,75.0,964.0,190.0,660.0,380.0
13,190.0,69.0,240.0,0.94,6.2,2.7,160.0,1200.0,73.0,720.0,200.0
14,76.0,13.0,69.0,0.44,5.9,2.0,20.0,450.0,3.8,270.0,57.0
15,76.0,23.0,8.8,0.14,1.7,0.87,17.0,210.0,11.0,150.0,62.0
16,160.0,85.0,170.0,2.7,20.0,0.36,150.0,1200.0,190.0,750.0,320.0
17,170.0,57.0,42.0,0.43,13.0,0.7,45.0,610.0,87.0,350.0,210.0
18,242.0,98.1,138.0,0.4,30.3,1.2,114.0,1110.0,163.0,806.0,363.0
19,160.0,52.0,13.0,0.18,6.5,1.9,20.0,340.0,12.0,220.0,160.0
20,185.0,68.0,66.0,0.7,20.0,0.7,72.0,837.0,132.0,525.0,252.0
21,200.0,70.1,28.8,0.1,35.0,3.1,53.0,777.0,170.0,515.0,362.9
22,95.0,48.0,120.0,0.73,16.0,0.98,98.0,790.0,170.0,530.0,230.0
23,250.0,96.0,62.0,0.6,17.0,3.8,69.0,850.0,95.0,620.0,320.0
24,200.0,83.0,2.3,0.23,8.5,0.52,6.8,430.0,37.0,250.0,220.0
25,220.0,74.0,11.0,0.52,35.0,0.47,21.0,810.0,130.0,480.0,340.0
26,94.0,10.0,31.0,0.48,0.13,2.84,65.0,340.0,2.3,210.0,29.0
27,206.0,119.0,42.1,0.29,30.5,1.93,66.3,1100.0,302.0,775.0,511.0
28,160.0,85.0,170.0,0.36,35.0,0.4,120.0,1400.0,240.0,910.0,360.0
29,160.0,63.0,150.0,0.13,15.0,1.6,89.0,690.0,22.0,480.0,220.0
30,300.0,110.0,72.0,0.12,41.0,7.266,28.0,880.0,72.0,580.0,410.0
31,280.0,99.0,5.4,0.15,28.0,1.1,30.0,420.0,200.0,610.0,362.0
32,179.0,117.0,131.0,0.4,56.7,106.0,172.0,1775.0,160.0,1210.0,525.0
33,80.0,36.0,200.0,0.15,31.0,8.5,84.0,550.0,28.0,600.0,220.0
34,400.0,31.0,160.0,0.4,43.0,1.3,290.0,1290.0,42.0,700.0,272.0
35,100.0,22.0,16.0,0.19,2.7,5.0,45.0,330.0,25.0,260.0,65.0
36,360.0,16.0,170.0,1.7,14.0,1.1,270.0,1600.0,170.0,760.0,28.0
37,130.0,25.0,8.6,0.12,20.0,2.0,17.0,300.0,7.9,220.0,110.0
